date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:23:45	126735/126735	---M--	200	added ('OK')	image/jpeg	etag:%221573816333%22	https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/ga1.jpg	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/ga1.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/index.html)
06:23:45	120229/120229	---M--	200	added ('OK')	image/jpeg	etag:%221573816333%22	https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/ga2.jpg	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/ga2.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/index.html)
06:23:45	153613/153613	---M--	200	added ('OK')	image/jpeg	etag:%221573816333%22	https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/ga3.jpg	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/ga3.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/index.html)
06:23:46	12085/12085	---M--	200	added ('OK')	image/jpeg	etag:%221573816333%22	https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/test2.jpg	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/test2.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/index.html)
06:23:46	94/94	---M-Z	200	added ('OK')	text/plain	etag:%2288-57ce09a96ded8-gzip%22	http://primary/robots.txt		(from )
06:23:47	134096/134096	---M--	200	added ('OK')	image/jpeg	etag:%221573816333%22	https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/ga4.jpg	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/ga4.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/index.html)
06:23:47	88847/88847	---M--	200	added ('OK')	image/jpeg	etag:%221573816333%22	https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/banner_3.jpg	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/banner_3.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/css/style.css)
06:23:48	69843/69843	---M--	200	added ('OK')	image/jpeg	etag:%221573816333%22	https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/bann1.jpg	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/bann1.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/css/style.css)
06:23:48	102647/102647	---M--	200	added ('OK')	image/jpeg	etag:%221573816333%22	https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/banner_2.jpg	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/banner_2.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/css/style.css)
06:23:49	107769/107769	---M--	200	added ('OK')	image/jpeg	etag:%221573816333%22	https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/banner1.jpg	C:/Users/ubaid/Desktop/new_web/NewOne/demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/images/banner1.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/31-05-2019/fashion_mantra-demo_Free/1818597229/web/css/style.css)
